Timestamp,Score,How satisfied are you with the teaching quality and faculty interaction in your academic courses?,How manageable do you find your academic workload?,How confident are you about your academic performance and preparation for exams?,How satisfied are you with the support provided by faculty for academic and career growth?,How confident are you in the college’s placement process and support in securing job opportunities?,"How satisfied are you with the campus facilities (classrooms, libraries, labs, etc.)?","How do you rate the quality of campus infrastructure (hostels, classrooms, labs, etc.)?",How well-maintained do you find the campus facilities?,How satisfied are you with the availability of technology and resources for academic work?,How do you rate the cleanliness and maintenance of campus facilities? ,How satisfied are you with your social life and interactions with friends during your time at college?,How often do you engage in social media as part of your daily routine at college?,How well do you feel integrated into the college’s social environment?,"How would you rate your overall happiness with the college’s social opportunities (events, friendships, community)?",How confident are you about your career prospects after graduation?, How well do you feel that your experience at IIIT Allahabad is preparing you for the future?,"How do you rate the quality of campus infrastructure (hostels, classrooms, labs, etc.)?.1",How would you rate your overall mental health during your time at college?,How accessible and helpful are the mental health resources provided by the college?,"How satisfied are you with the physical health resources available (gyms, health centers, etc.)?",How often do you engage in physical activities or exercise as part of your daily routine?,"How often do you participate in extracurricular activities (clubs, sports, cultural events, etc.)?",How do you feel extracurricular activities contribute to your overall college experience?,How well do you think the college supports students in pursuing extracurricular interests?,How often do you feel stressed or overwhelmed by the demands of college life?,How satisfied are you with the variety and availability of extracurricular activities at the college?,How well do you feel informed about managing personal finances while at college?,"How manageable do you find your financial situation, considering tuition fees, living expenses, and other costs?","How satisfied are you with the financial support options available to students (scholarships, loans, etc.)?", How much do financial concerns affect your ability to focus on academic and extracurricular activities?,How satisfied are you with the financial resources available to you for maintaining a comfortable lifestyle?,To what extent do you feel your financial situation impacts your overall happiness?,"How supported do you feel by friends, family, or peers within the institute?",To what extent do you believe social support within the institute contributes to your happiness?,How would you rate your satisfaction with your current physical health?,To what extent do you think maintaining good physical health contributes to your happiness?,How satisfied are you with the freedom you have to make decisions about your academic and personal life?,How accessible and helpful are the mental health resources provided by the college?,How often do you engage in acts of kindness or generosity towards others?,To what extent do you think acts of generosity contribute to your happiness?,How often do you feel that fairness is maintained in your academic and social environment?,To what extent does a fair and corruption-free environment affect your overall happiness?
9/24/2024 23:26:33,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,1,6,1,1,4,1
9/24/2024 23:26:55,,6,4,5,5,4,7,6,6,7,7,4,10,4,4,5,5,5,4,4,6,4,2,3,6,4,6,4,6,5,4,1,1,1,1,4,6,6,1,1,1,1,1
9/24/2024 23:27:56,,3,3,3,5,7,8,8,8,7,9,6,10,10,6,4,5,5,4,2,6,9,7,8,8,9,7,6,5,4,6,1,5,1,1,4,7,1,1,1,1,1,6
9/24/2024 23:28:19,,3,1,3,2,4,4,8,8,6,9,2,8,5,4,8,8,8,1,1,2,7,7,3,1,1,1,2,3,5,5,1,6,1,1,1,1,1,1,1,1,1,1
9/24/2024 23:29:25,,2,1,2,2,1,2,2,1,1,2,2,10,2,5,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,10,1,1
9/24/2024 23:29:34,,6,3,7,6,7,7,8,5,6,7,9,7,7,7,7,7,8,4,3,6,6,2,4,4,8,5,2,4,3,7,1,1,1,1,4,5,1,1,1,1,1,1
9/24/2024 23:30:00,,1,1,1,1,5,3,6,5,1,4,4,1,3,1,7,7,3,1,1,6,1,1,6,4,1,2,2,1,8,1,1,1,1,1,1,2,8,1,1,1,1,1
9/24/2024 23:30:06,,6,7,7,6,8,3,1,2,1,4,8,7,8,5,5,6,1,7,7,6,1,1,7,5,3,1,3,5,3,5,1,8,1,1,7,1,1,10,1,1,1,1
9/24/2024 23:30:42,,1,1,1,1,10,1,1,1,1,1,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,4
9/24/2024 23:30:51,,7,6,5,6,8,9,8,8,7,9,8,7,8,8,7,8,8,6,6,7,6,6,8,4,5,5,4,7,8,3,1,1,1,1,6,5,7,1,1,1,1,1
9/24/2024 23:31:27,,1,8,4,1,4,1,1,1,1,1,8,2,5,2,4,1,1,1,1,1,6,4,3,1,1,1,1,8,5,5,6,1,1,1,1,1,1,1,5,1,1,6
9/24/2024 23:31:33,,7,5,7,7,5,5,3,4,4,5,10,7,5,7,5,7,4,5,7,3,1,1,1,3,3,5,8,8,5,1,1,1,1,1,5,5,1,1,8,1,1,8
9/24/2024 23:31:44,,4,7,1,5,9,8,8,7,8,9,4,5,4,5,8,8,8,6,3,9,1,1,1,3,6,7,4,4,8,7,1,1,5,1,6,7,1,2,1,10,1,1
9/24/2024 23:31:49,,1,2,1,1,1,2,5,5,5,3,6,7,2,6,3,3,7,2,3,1,7,5,7,3,4,4,2,4,4,4,1,1,1,1,2,4,1,1,1,1,1,6
9/24/2024 23:32:50,,5,2,7,2,9,8,7,6,6,1,9,9,8,8,8,7,7,4,1,6,2,6,9,3,2,7,1,6,4,4,1,1,1,1,4,7,1,1,1,1,1,4
9/24/2024 23:32:52,,5,10,7,3,7,8,7,7,7,8,9,8,8,6,10,8,8,6,7,3,4,6,6,6,8,5,6,6,6,7,7,1,1,1,6,5,1,1,1,9,1,1
9/24/2024 23:34:37,,5,6,7,1,5,1,5,4,5,4,6,6,5,4,7,5,4,4,1,4,7,1,3,4,4,5,5,5,4,7,1,1,10,1,4,5,1,1,1,7,1,1
9/24/2024 23:34:49,,7,7,7,6,7,7,7,6,7,7,8,8,8,8,9,8,7,7,6,6,5,4,7,6,7,7,7,6,5,6,6,1,1,1,7,7,1,1,1,1,4,1
9/24/2024 23:35:53,,5,3,7,1,6,6,5,5,5,6,7,4,8,7,8,7,6,5,4,5,5,1,5,5,6,5,4,4,10,4,8,1,1,1,5,5,9,1,1,1,3,6
9/24/2024 23:36:24,,1,1,1,1,7,10,5,7,3,5,9,10,3,3,2,1,5,1,1,8,1,1,1,6,10,5,1,9,10,1,1,1,1,1,1,5,1,1,1,1,1,1
9/24/2024 23:37:14,,1,1,1,5,8,4,1,1,1,10,8,9,6,5,7,10,4,2,5,1,10,1,10,4,10,1,10,10,10,1,1,1,1,1,2,1,1,1,1,1,9,4
9/24/2024 23:39:55,,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,7
9/24/2024 23:40:54,,5,1,10,3,10,2,3,6,1,5,8,1,7,2,9,1,7,1,1,1,1,5,7,1,6,7,3,10,4,7,1,1,1,1,1,7,1,1,1,1,1,1
9/24/2024 23:41:16,,7,7,5,5,6,8,7,7,8,9,9,6,8,8,8,7,7,7,5,2,2,8,7,6,7,7,5,6,6,7,1,10,10,1,7,7,2,1,1,1,1,1
9/24/2024 23:41:23,,3,7,7,3,3,8,8,8,7,6,7,8,6,5,7,3,7,7,2,4,8,7,7,2,5,2,3,8,2,1,5,1,1,1,7,2,10,1,1,1,1,1
9/24/2024 23:41:32,,4,7,9,4,10,9,9,9,8,8,7,7,8,7,8,9,8,6,1,7,8,8,8,6,10,6,8,8,5,4,1,1,1,1,6,6,9,1,3,1,1,1
9/24/2024 23:42:05,,3,7,8,3,1,4,3,4,7,7,7,6,6,7,9,7,6,7,3,5,4,3,8,3,6,5,7,5,7,2,1,3,1,1,7,5,1,1,1,1,9,3
9/24/2024 23:42:55,,7,9,3,5,9,5,7,8,9,3,6,6,9,6,8,10,7,8,9,6,4,3,5,7,2,6,3,4,3,9,1,1,7,1,8,6,10,1,1,1,1,1
9/24/2024 23:46:30,,1,1,1,1,2,5,5,5,2,1,1,1,4,1,1,1,1,1,1,2,1,2,8,1,10,1,2,2,5,5,8,1,1,1,1,1,1,1,1,1,1,1
9/24/2024 23:52:46,,8,9,9,8,10,10,10,10,10,10,10,8,10,10,9,10,10,10,10,10,8,10,10,10,3,10,8,9,7,1,1,10,8,1,10,10,1,10,1,1,1,1
9/24/2024 23:53:52,,4,2,5,5,4,8,9,7,9,7,5,9,3,3,7,8,8,5,4,8,9,1,4,4,10,6,6,5,5,5,1,1,1,1,5,6,1,1,1,1,1,1
9/24/2024 23:53:53,,8,7,7,7,7,4,4,4,6,4,6,7,6,7,7,6,4,7,4,4,6,8,8,6,7,4,6,7,6,3,1,1,1,1,7,4,1,2,1,1,1,1
9/24/2024 23:55:18,,7,6,8,2,6,8,3,1,9,2,5,9,2,7,8,7,5,6,1,6,8,3,2,1,6,3,3,5,6,4,5,1,1,1,6,3,1,1,1,1,1,1
9/24/2024 23:57:58,,2,5,4,4,8,2,1,1,5,2,7,6,6,6,5,5,1,7,6,1,9,6,6,2,6,3,4,3,7,6,1,1,1,1,7,3,1,3,1,1,1,7
9/25/2024 0:00:01,,2,1,4,1,2,2,1,3,1,1,5,6,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,4,2,1,1,1
9/25/2024 0:00:07,,6,5,6,2,8,6,3,3,7,2,8,9,8,7,8,7,3,7,1,6,4,8,8,3,7,6,5,10,5,4,1,1,7,1,7,6,1,5,1,9,1,1
9/25/2024 0:00:20,,4,4,6,4,7,9,7,7,8,9,7,8,6,7,6,6,7,6,4,4,3,5,5,6,7,6,7,8,3,4,1,1,1,3,6,6,6,1,4,9,1,1
9/25/2024 0:00:53,,6,6,6,5,5,5,5,5,5,5,5,4,3,6,8,8,7,6,4,5,6,6,5,5,3,4,4,5,6,5,1,1,1,1,6,4,1,1,1,1,1,1
9/25/2024 0:07:01,,4,3,7,4,5,7,8,6,7,5,8,5,4,7,8,5,7,6,1,3,4,6,7,5,4,4,9,3,7,8,1,10,1,1,6,4,1,1,1,1,1,1
9/25/2024 0:10:42,,8,8,7,9,9,10,9,8,8,8,9,8,8,8,9,9,8,8,7,8,9,7,9,8,8,9,9,8,10,5,1,1,9,1,8,9,1,1,1,1,1,1
9/25/2024 0:11:06,,1,4,5,1,5,7,7,7,7,7,7,8,3,3,7,7,5,3,2,1,1,1,1,6,5,1,1,1,5,5,1,1,1,3,3,1,3,1,1,1,1,1
9/25/2024 0:17:46,,3,4,5,2,6,2,3,2,6,3,1,4,2,4,8,6,2,5,3,4,1,2,1,1,10,1,3,2,4,8,1,1,1,1,5,1,1,1,1,1,1,1
9/25/2024 0:30:25,,7,5,6,7,7,8,8,9,8,10,10,8,8,9,8,8,9,7,7,6,6,5,8,5,5,5,7,5,6,7,1,6,1,1,7,5,1,1,1,1,1,8
9/25/2024 0:30:41,,3,3,3,1,4,1,1,1,7,1,10,8,10,10,4,4,1,5,1,1,4,8,10,1,6,5,1,1,5,10,1,1,1,10,5,5,1,2,1,1,1,1
9/25/2024 0:31:03,,6,8,10,6,6,2,6,3,5,6,9,8,6,7,8,8,7,9,4,3,5,6,8,4,6,6,5,7,9,6,1,1,1,1,9,6,1,1,1,1,1,4
9/25/2024 0:32:52,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,5,1,2,1
9/25/2024 0:33:55,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,10,10,1,1,8,1,1,1
9/25/2024 0:35:51,,7,5,7,3,3,5,5,5,7,6,8,9,6,5,6,7,6,2,4,4,7,8,8,2,9,6,8,8,8,4,9,1,1,1,2,6,1,1,1,1,1,6
9/25/2024 0:37:02,,8,10,7,10,5,7,5,6,7,6,8,8,7,7,7,7,7,8,6,6,6,7,7,6,8,7,4,7,1,4,1,1,1,1,8,7,1,9,1,1,1,1
9/25/2024 0:38:28,,1,1,1,1,10,8,8,6,8,8,8,10,5,8,9,8,8,7,5,8,1,1,4,7,7,7,1,7,1,1,1,8,1,4,7,7,1,4,1,1,1,1
9/25/2024 0:38:51,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,4,3,5,5,4,5,1,1,2,1,10,3,1,1,5,1,1,1
9/25/2024 0:39:40,,1,4,2,1,2,4,1,3,3,3,7,8,6,2,5,2,1,1,1,1,3,5,2,3,10,2,3,4,2,2,4,1,1,1,1,2,1,1,1,1,1,1
9/25/2024 0:40:40,,5,7,7,2,7,8,2,3,3,6,3,7,1,1,6,6,2,5,1,2,7,1,8,1,10,1,8,3,1,7,7,1,1,1,5,1,1,1,2,1,1,1
9/25/2024 0:41:45,,8,9,9,8,9,9,8,8,8,8,10,9,8,10,8,9,9,8,9,8,8,8,9,9,9,9,9,9,9,9,1,1,1,1,8,9,1,1,1,1,1,1
9/25/2024 0:44:19,,7,5,4,4,5,6,8,5,4,6,6,8,6,4,5,8,7,4,7,3,7,3,8,2,7,7,3,4,4,2,1,1,1,1,4,7,1,5,8,1,1,1
9/25/2024 0:44:59,,5,4,10,7,10,10,6,8,10,10,9,7,7,10,8,8,7,8,10,10,9,9,8,2,5,9,8,3,7,6,1,1,1,1,8,9,1,1,2,1,1,1
9/25/2024 0:50:14,,2,4,1,1,1,7,8,5,3,4,9,10,5,7,10,10,5,6,5,5,8,7,8,10,10,7,6,6,6,2,1,1,1,1,6,7,1,1,1,1,4,1
9/25/2024 0:51:44,,1,10,10,1,1,1,3,1,3,3,5,10,10,10,10,10,6,10,1,1,10,1,1,1,10,1,10,10,10,1,1,1,1,1,10,1,1,8,1,1,1,1
9/25/2024 0:52:01,,6,6,7,5,5,8,9,8,7,8,7,6,8,8,8,8,8,7,3,2,5,5,8,6,7,6,5,6,5,3,7,1,1,1,7,6,1,1,1,5,1,1
9/25/2024 0:52:50,,7,6,8,7,8,5,7,7,7,6,7,6,7,5,6,7,8,5,7,8,7,6,7,6,5,8,5,7,5,3,1,1,1,1,5,8,1,7,7,9,1,1
9/25/2024 0:57:18,,3,6,3,1,3,1,1,1,1,3,5,9,2,1,1,5,1,1,1,1,1,1,1,1,10,1,2,3,1,6,1,1,8,1,1,1,1,1,9,1,1,8
9/25/2024 1:12:33,,5,1,4,4,4,7,4,7,7,7,7,7,7,5,6,8,7,3,3,5,4,5,7,1,9,6,4,6,8,8,1,1,1,1,3,6,1,1,1,4,1,1
9/25/2024 1:20:31,,9,9,10,9,9,9,9,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,8,8,1,1,1,5,9,1
9/25/2024 1:29:53,,9,9,10,2,9,5,3,3,5,1,9,1,8,8,10,9,4,9,7,8,2,1,5,6,7,1,7,8,8,5,1,1,1,1,9,1,9,8,1,3,1,1
9/25/2024 1:33:48,,8,8,8,6,8,8,7,3,5,4,9,9,9,8,8,8,7,8,4,5,9,9,9,4,5,3,6,7,6,8,1,1,1,1,8,3,1,1,1,1,4,1
9/25/2024 1:44:36,,1,5,1,3,3,4,4,8,7,10,4,10,1,4,3,1,4,3,3,2,1,1,6,5,6,5,4,2,8,5,1,1,1,1,3,5,9,1,1,1,1,9
9/25/2024 2:04:35,,3,3,5,4,4,5,5,5,7,4,4,4,2,2,3,5,2,4,8,8,3,1,4,4,8,4,2,4,3,8,9,1,10,1,4,4,1,1,9,1,1,1
9/25/2024 2:11:45,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,1,1,6,1,1,1
9/25/2024 2:16:51,,3,7,3,6,8,7,4,3,3,6,8,2,6,7,7,7,3,6,2,4,5,2,6,4,6,3,6,5,4,5,1,3,1,1,6,3,1,1,1,1,2,1
9/25/2024 2:21:12,,7,7,8,7,8,7,8,4,8,5,7,4,4,5,5,6,3,5,5,6,8,5,5,4,7,7,4,5,5,5,1,3,1,1,5,7,1,1,1,10,10,1
9/25/2024 2:21:20,,5,7,3,4,6,7,8,8,8,5,5,7,6,6,7,7,6,4,4,3,4,4,6,6,5,5,6,7,5,4,1,1,1,1,4,5,10,1,1,1,1,1
9/25/2024 2:36:07,,7,8,8,7,7,9,9,9,8,9,6,5,7,7,8,8,9,6,7,9,9,7,7,8,4,9,7,9,7,8,1,1,1,1,6,9,1,2,4,1,1,1
9/25/2024 2:38:15,,7,2,8,5,3,9,9,7,10,10,10,3,5,7,6,10,8,7,6,5,4,1,3,1,4,3,10,10,10,1,1,4,1,1,7,3,1,1,6,1,1,1
9/25/2024 2:40:42,,8,6,6,8,7,8,6,5,8,7,7,8,5,8,7,6,8,8,7,6,9,5,6,6,7,5,6,6,6,8,1,1,3,1,8,5,1,1,1,1,1,1
9/25/2024 5:04:35,,1,2,7,1,1,1,1,1,1,2,5,10,5,2,6,1,1,1,1,1,3,5,5,1,10,1,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1
9/25/2024 6:08:47,,3,6,5,3,6,6,8,5,9,8,4,5,5,3,10,10,8,7,3,3,4,1,8,2,8,3,7,7,1,9,1,1,1,1,7,3,1,1,1,1,1,8
9/25/2024 6:19:40,,6,4,3,7,7,9,7,7,9,8,4,5,4,3,8,8,8,7,2,7,6,3,5,8,8,5,1,1,1,8,1,1,1,1,7,5,10,1,1,1,1,1
9/25/2024 6:37:15,,7,7,10,3,9,6,2,1,1,1,10,10,8,8,10,7,5,7,6,4,10,10,10,1,5,5,6,10,3,1,1,1,1,2,7,5,1,1,1,1,1,1
9/25/2024 6:41:50,,8,7,8,8,8,7,6,8,8,8,9,9,8,8,8,8,7,7,7,7,8,9,8,8,8,8,8,6,6,8,1,1,9,1,7,8,1,1,1,1,1,1
9/25/2024 6:41:56,,8,6,6,8,8,8,8,8,7,8,7,6,7,7,6,8,7,5,8,7,3,7,6,6,10,7,9,8,8,5,1,1,1,1,5,7,8,1,1,1,1,1
9/25/2024 7:39:42,,8,7,7,5,5,5,6,4,7,4,7,7,7,7,8,8,5,7,5,8,8,7,8,6,7,5,5,5,9,7,2,1,10,1,7,5,1,1,1,7,7,2
9/25/2024 8:09:28,,8,8,7,7,9,8,8,8,8,8,8,7,9,10,8,9,7,9,9,7,7,7,7,8,9,9,8,7,8,8,1,1,1,1,9,9,1,1,1,10,1,1
9/25/2024 8:33:02,,7,6,8,7,8,8,7,7,7,7,7,5,7,7,8,7,7,8,6,7,8,8,8,7,7,7,6,6,7,5,1,7,1,1,8,7,1,1,1,10,1,1
9/25/2024 8:59:26,,6,5,6,7,8,6,4,5,7,5,6,10,6,6,8,9,6,7,6,7,3,3,6,6,5,6,8,8,6,10,7,1,1,1,7,6,1,5,1,1,1,1
9/25/2024 9:12:42,,7,6,8,4,8,5,3,3,3,4,4,8,6,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,7,7,1,1,1,1,1,1
9/25/2024 9:24:59,,4,2,3,2,5,5,3,4,5,2,1,6,2,2,5,2,1,2,7,2,2,2,1,2,2,2,2,1,1,2,1,7,6,1,2,2,1,1,2,1,1,1
9/25/2024 9:33:19,,4,6,3,5,1,5,5,5,2,5,1,1,1,1,5,1,5,3,1,1,1,1,10,1,8,1,6,5,5,5,5,1,1,1,3,1,1,1,1,1,1,1
9/25/2024 9:33:36,,6,3,6,6,4,3,5,5,5,7,7,6,5,5,4,5,5,3,5,5,2,8,7,1,4,5,3,3,2,1,1,1,1,2,3,5,9,1,10,6,1,10
9/25/2024 10:03:35,,5,5,4,4,6,6,6,6,6,7,9,9,8,7,7,7,5,7,1,6,3,7,9,6,2,6,6,3,5,5,1,1,1,1,7,6,1,10,1,1,1,1
9/25/2024 10:04:10,,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,8,1,2,1,1,2,1,1,5
9/25/2024 10:04:29,,2,7,5,3,6,8,7,3,6,4,4,5,5,3,3,3,3,3,4,4,3,3,3,4,4,5,5,8,7,6,4,5,1,1,3,5,1,1,1,1,1,1
9/25/2024 10:05:00,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/25/2024 10:05:05,,2,8,9,7,10,6,3,7,6,9,7,9,8,7,9,10,2,10,10,8,9,8,8,4,2,4,10,9,10,7,1,9,9,1,10,4,1,1,7,1,1,1
9/25/2024 10:06:10,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,8,1,9,7,1
